Date,Max_Temp,Min_Temp,Rainfall,Wind_Speed,Humidity,Avg_Temp,Year,Month,Season,Month_Name
2019-01-01,29.8,14.9,0.0,13.9,81,22.35,2019,1,Winter,Jan
2019-01-02,30.0,15.4,0.0,17.9,77,22.7,2019,1,Winter,Jan
2019-01-03,29.4,15.0,0.0,13.0,78,22.2,2019,1,Winter,Jan
2019-01-04,30.0,15.4,0.0,16.3,88,22.7,2019,1,Winter,Jan
2019-01-05,28.4,15.9,0.0,15.6,86,22.15,2019,1,Winter,Jan
2019-01-06,29.9,16.6,0.0,23.7,78,23.25,2019,1,Winter,Jan
2019-01-07,30.5,17.6,0.0,20.3,64,24.05,2019,1,Winter,Jan
2019-01-08,29.9,17.3,0.0,17.1,66,23.6,2019,1,Winter,Jan
2019-01-09,28.0,14.4,0.0,16.8,85,21.2,2019,1,Winter,Jan
2019-01-10,28.8,14.6,0.0,14.5,86,21.7,2019,1,Winter,Jan
2019-01-11,28.6,15.4,0.0,16.3,87,22.0,2019,1,Winter,Jan
2019-01-12,27.1,16.1,0.0,17.1,89,21.6,2019,1,Winter,Jan
2019-01-13,29.4,16.0,0.0,19.6,82,22.7,2019,1,Winter,Jan
2019-01-14,29.7,16.5,0.0,18.7,67,23.1,2019,1,Winter,Jan
2019-01-15,31.5,18.9,0.0,18.1,64,25.2,2019,1,Winter,Jan
2019-01-16,30.4,17.5,0.0,15.6,83,23.95,2019,1,Winter,Jan
2019-01-17,29.5,18.0,0.0,17.1,83,23.75,2019,1,Winter,Jan
2019-01-18,29.1,16.5,0.0,15.3,87,22.8,2019,1,Winter,Jan
2019-01-19,31.0,16.8,0.0,13.8,92,23.9,2019,1,Winter,Jan
2019-01-20,31.0,17.5,0.0,14.0,94,24.25,2019,1,Winter,Jan
2019-01-21,27.8,18.2,0.0,16.6,97,23.0,2019,1,Winter,Jan
2019-01-22,26.4,19.5,0.0,11.9,98,22.95,2019,1,Winter,Jan
2019-01-23,25.8,19.2,0.2,22.4,100,22.5,2019,1,Winter,Jan
2019-01-24,26.4,17.1,0.0,22.9,83,21.75,2019,1,Winter,Jan
2019-01-25,25.6,17.2,0.0,26.7,61,21.4,2019,1,Winter,Jan
2019-01-26,27.1,16.8,0.0,27.4,60,21.950000000000003,2019,1,Winter,Jan
2019-01-27,28.9,19.0,0.0,27.4,55,23.95,2019,1,Winter,Jan
2019-01-28,28.4,18.4,0.0,22.5,50,23.4,2019,1,Winter,Jan
2019-01-29,29.4,18.1,0.0,19.7,57,23.75,2019,1,Winter,Jan
2019-01-30,29.8,15.8,0.0,14.7,83,22.8,2019,1,Winter,Jan
2019-01-31,28.1,17.2,0.0,16.6,86,22.65,2019,1,Winter,Jan
2019-02-01,28.3,16.9,0.0,17.3,92,22.6,2019,2,Winter,Feb
2019-02-02,27.3,18.0,0.0,22.0,77,22.65,2019,2,Winter,Feb
2019-02-03,28.8,17.8,0.0,15.6,85,23.3,2019,2,Winter,Feb
2019-02-04,30.5,18.7,0.0,18.4,91,24.6,2019,2,Winter,Feb
2019-02-05,28.9,18.9,0.0,18.0,96,23.9,2019,2,Winter,Feb
2019-02-06,26.9,19.7,0.0,19.6,95,23.299999999999997,2019,2,Winter,Feb
2019-02-07,25.0,19.2,0.0,22.1,93,22.1,2019,2,Winter,Feb
2019-02-08,23.1,16.0,0.0,24.6,91,19.55,2019,2,Winter,Feb
2019-02-09,27.5,15.1,0.0,23.2,68,21.3,2019,2,Winter,Feb
2019-02-10,28.7,13.0,0.0,13.8,71,20.85,2019,2,Winter,Feb
2019-02-11,30.8,15.3,0.0,15.1,79,23.05,2019,2,Winter,Feb
2019-02-12,32.3,19.3,0.0,10.9,66,25.799999999999997,2019,2,Winter,Feb
2019-02-13,29.1,22.0,0.0,21.5,72,25.55,2019,2,Winter,Feb
2019-02-14,28.9,20.5,0.0,22.9,85,24.7,2019,2,Winter,Feb
2019-02-15,27.7,19.5,0.0,19.4,91,23.6,2019,2,Winter,Feb
2019-02-16,27.5,16.5,0.0,19.9,93,22.0,2019,2,Winter,Feb
2019-02-17,27.1,17.0,0.0,18.7,90,22.05,2019,2,Winter,Feb
2019-02-18,28.7,17.9,0.0,19.2,91,23.299999999999997,2019,2,Winter,Feb
2019-02-19,28.7,17.2,0.0,19.6,91,22.95,2019,2,Winter,Feb
2019-02-20,30.0,18.2,0.0,14.8,98,24.1,2019,2,Winter,Feb
2019-02-21,29.2,19.8,0.0,23.7,100,24.5,2019,2,Winter,Feb
2019-02-22,29.5,21.0,0.0,20.5,94,25.25,2019,2,Winter,Feb
2019-02-23,32.5,21.1,0.0,18.4,76,26.8,2019,2,Winter,Feb
2019-02-24,29.9,21.0,0.0,26.6,81,25.45,2019,2,Winter,Feb
2019-02-25,29.5,19.1,0.0,21.9,88,24.3,2019,2,Winter,Feb
2019-02-26,30.7,20.1,0.0,19.7,94,25.4,2019,2,Winter,Feb
2019-02-27,27.2,18.4,0.0,17.4,97,22.799999999999997,2019,2,Winter,Feb
2019-02-28,29.1,19.5,0.0,23.4,99,24.3,2019,2,Winter,Feb
2019-03-01,28.6,17.2,0.0,18.0,91,22.9,2019,3,Summer,Mar
2019-03-02,28.5,19.5,0.0,16.5,96,24.0,2019,3,Summer,Mar
